datetime,open,high,low,close,volume
2022-01-03,177.83,182.88,177.71001,182.00999,104701000.0
2022-01-04,182.63,182.94,179.12,179.7,99310000.0
2022-01-05,179.61,180.17,174.64,174.92,94538000.0
2022-01-06,172.7,175.3,171.64,172.0,96904000.0
2022-01-07,172.89,174.14,171.03,172.17,86709000.0
2022-01-10,169.08,172.5,168.17,172.19,106766000.0
2022-01-11,172.32001,175.17999,170.82001,175.08,76138000.0
2022-01-12,176.12,177.17999,174.82001,175.53,74805000.0
2022-01-13,175.78,176.62,171.78999,172.19,84506000.0
2022-01-14,171.34,173.78,171.09,173.07001,80441000.0
2022-01-18,171.50999,172.53999,169.405,169.8,91169000.0
2022-01-19,170.0,171.08,165.94,166.23,94815000.0
2022-01-20,166.98,169.67999,164.17999,164.50999,91421000.0
2022-01-21,164.41499,166.33,162.3,162.41,122849000.0
2022-01-24,160.02,162.3,154.7,161.62,162707008.0
2022-01-25,158.98,162.75999,157.02,159.78,115798000.0
2022-01-26,163.5,164.3894,157.82001,159.69,108275000.0
2022-01-27,162.45,163.84,158.28,159.22,121955000.0
2022-01-28,165.71001,170.35001,162.8,170.33,179936000.0
2022-01-31,170.16,175.0,169.50999,174.78,115542000.0
2022-02-01,174.00999,174.84,172.31,174.61,86214000.0
2022-02-02,174.745,175.88,173.33,175.84,84914000.0
2022-02-03,174.48,176.2399,172.12,172.89999,89418000.0
2022-02-04,171.67999,174.10001,170.67999,172.39,82465000.0
2022-02-07,172.86,173.9458,170.95,171.66,77251000.0
2022-02-08,171.73,175.35001,171.42999,174.83,74829000.0
2022-02-09,176.05,176.64999,174.89999,176.28,71285000.0
2022-02-10,174.14,175.48,171.55,172.12,90866000.0
2022-02-11,172.33,173.08,168.03999,168.64,98671000.0
2022-02-14,167.37,169.58,166.56,168.88,86186000.0
2022-02-15,170.97,172.95,170.25,172.78999,64286000.0
2022-02-16,171.85001,173.34,170.05,172.55,61177000.0
2022-02-17,171.03,171.91,168.47,168.88,69589000.0
2022-02-18,169.82001,170.54131,166.19,167.3,82773000.0
2022-02-22,164.98,166.69,162.14999,164.32001,91163000.0
2022-02-23,165.53999,166.14999,159.75,160.07001,90009000.0
